Category,Max Out Degree,Max In Degree,Average Out Degree,Average In Degree,Max Out Degree Companies,Max In Degree Companies
Energy,12,4,0.6446991404011462,0.6446991404011462,亚普股份,"阿里, 中兴"
HealthCare,2,2,0.5257731958762887,0.5257731958762887,"博济医药, 烟台东诚核医疗健康产业集团有限公司",蓝鹊生物
Materials,13,8,0.6421052631578947,0.6421052631578947,普利特,中兴
Industrials,7,22,0.6817248459958932,0.6817248459958932,"汉钟精机, 巨一科技",中兴
IT,17,35,0.7609489051094891,0.7609489051094891,苹果,中兴
CD,4,1,0.5714285714285714,0.5714285714285714,中百集团,"华润, 正企良缘, 重庆城投集团巫山城市更新建设发展有限公司, 瑞幸咖啡, 意尔康股份有限公司, 茅台品牌, 上影·联和院线, 中兴, 网易, Andor, 饿了么, 人民网旗下平台人民数据, 三六零, 平江县人民政府, 广西石化, 腾讯, 北京华宇九品科技有限公司, 北京华宇信息技术有限公司, WCO, 多点, 美团, 怡亚通, 京东, 当当网"
Financials,3,2,0.5490196078431373,0.5490196078431373,东风,中兴
Telecom,5,10,0.7777777777777778,0.7777777777777778,中国移动,中兴
Unknown,2,1,0.5294117647058824,0.5294117647058824,棕榈股份,"廊坊市第四人民医院, 吉利, 深圳市场, 中文在线, 中信集团, 超图软件, 版权剧、短剧、网剧、网大, 中国农业科学院农田灌溉研究所, 河南省豫资农业服务有限公司"
CS,6,2,0.7142857142857143,0.7142857142857143,三全食品,华润
RealEstate,1,1,0.5,0.5,"上航, 北新融建, 深物业集团, 凯撒世嘉控股集团, 山水比德, 乾景园林公司, 商汤科技, 美力科技, 我爱我家, 风语筑, 云南省交通规划设计研究院股份有限公司","ST交投, 中原地产, 农商银行发展联合会, 家乐园地产, 第四范式, 东航, 新昌县七星街道办事处, 北京金河水务建设集团有限公司, 国贸物业保定分公司, 大南街幼儿园花滩总部, 地平线"
